iter	Logloss
0	0.6901917662
1	0.6875694034
2	0.6850699981
3	0.682578880444	0.680590436
5	0.6789034417
6	0.6772910092
7	0.6760194099
88	0.67486682589	0.6731543052110	0.6720426864111	0.6709862366112	0.6699986875113	0.6689039011114	0.66801549981115	0.667622588116	0.6666928471117	0.666108123
18	0.6655058632119	0.664961907
20	0.6643547825
2121	0.66392971822	0.6632886789
23	0.6628302624
24	0.6619458438225	0.6614985852226	0.6611174507227	0.6605763546228	0.6601195625229	0.6598199639330	0.6594735908331	0.6579672079332	0.6576269195333	0.6573564255334	0.6570845162335	0.6567122948336	0.6564255056337	0.6562025836
38	0.6558700432
39	0.6556089394
40	0.655426631
41	0.6552524865
42	0.6550405039
43	0.6547101619
44	0.6544882479
45	0.6543329345
46	0.6540737077
47	0.653858464
48	0.6537192273
49	0.6535853934
50	0.6534625135
51	0.6531190046
52	0.6529794781
53	0.6527791246
54	0.6526383494
55	0.65253396
56	0.6524490428
57	0.6522193381
58	0.6520768255
59	0.6518679933
60	0.6517021993
61	0.6513242945
62	0.6511911953
63	0.6511047202
64	0.6509832035
65	0.6508459616
66	0.6506743618
67	0.6504933181
68	0.6503993598
69	0.6503329748
70	0.6502511042
71	0.6501051188
72	0.6500234821
73	0.6499342748
74	0.6497913776
75	0.6496832198
76	0.6494860287
77	0.6493977266
78	0.6491164046
79	0.6490329206
80	0.6489818825
81	0.6488519509
82	0.648748723
83	0.648602235
84	0.6485188197
85	0.6484589067
86	0.6483873323
87	0.6481326088	88	0.6480231389	89	0.6479383024
90	0.6476448666
91	0.647563422
92	0.6472387192
93	0.6471299752
94	0.6470824883
95	0.6469266637
96	0.6467854333
97	0.6466919415
98	0.6466136522
99	0.6464961801
100	0.6464255934
101	0.6461803407
102	0.6460981042
103	0.6460623351
104	0.6459905789
105	0.645978984
106	0.6458819864
107	0.6457503151
108	0.6457054937
109	0.6456097589
110	0.6453458058
111	0.6452370297
112	0.6451128221
113	0.6450422284
114	0.6449453638
115	0.6448664138
116	0.6448139352
117	0.6447121342
118	0.6446581777
119	0.6445866048
120	0.6444603194
121	0.6443437831
122	0.6442812752
123	0.6441730018
124	0.6440580227
125	0.6439085971
126	0.643839537
127	0.6437888315
128	0.6436597876
129	0.6436030502
130	0.6435275811
131	0.6434956953
132	0.6434142559
133	0.6433315603
134	0.6432671759
135	0.6432034005
136	0.6430847869
137	0.6429653303
138	0.6429083092
139	0.6427754515
140	0.6427187568
141	0.642626315
142	0.6425716625
143	0.6424916193
144	0.6423990821
145	0.6422632146	146	0.6421374381
147	0.642118148	0148	0.642038249	0149	0.6419519009
150	0.6418645034
151	0.6418072956
152	0.6417275549
153	0.6415784879
154	0.6415178354
155	0.6414973942
156	0.6414586121
157	0.6413757473
158	0.6412710294
159	0.6410539182
160	0.6409997678
161	0.6409134747
162	0.6408494322
163	0.6407643435
164	0.640687887
165	0.6406618715
166	0.6405798107
167	0.6405034601
168	0.640415806
169	0.6403810173
170	0.6401942871
171	0.640128026
172	0.6400361648
173	0.6399644831
174	0.639908484
175	0.6398118522
176	0.6397584674
177	0.6396640698
178	0.6395963489
179	0.6395293021
180	0.6394344776
181	0.6393981874
182	0.6393215695
183	0.6392390388
184	0.6391548057
185	0.6390744662
186	0.6390237841
187	0.6389242299
188	0.6388339716
189	0.6387564709
190	0.6386466486
191	0.6385246378
192	0.6383526647
193	0.6382145212
194	0.6381348552
195	0.6381015203
196	0.6380551524
197	0.6380148969
198	0.6379515042
199	0.6378427492
200	0.637739573
201	0.6376361919
202	0.6375403467
203	0.6374776491
204	0.6373634521
205	0.6373267334
206	0.6372439996
207	0.637169446
208	0.6370952883
209	0.6369954887
210	0.6369369056
211	0.6368159439
212	0.6367123262
213	0.6366046138
214	0.6365773009
215	0.636444942
216	0.6363683324
217	0.6359182867
218	0.6357954227
219	0.6356801112
220	0.6355295972
221	0.6354000159
222	0.6353452778
223	0.6352795028
224	0.6351755897
225	0.6350775881
226	0.6350027921
227	0.6348662663
228	0.6346936118
229	0.6346252529
230	0.6345263426
231	0.6343495969
232	0.6342694826
233	0.6341711199
234	0.634041256
235	0.6339578935
236	0.6337870688
237	0.6336902921
238	0.6335553574
239	0.6333793829
240	0.6332442064
241	0.6331414035
242	0.6330874435
243	0.6329188416
244	0.6328116969
245	0.6326782416
246	0.6325886658
247	0.6324557426
248	0.6323559822
249	0.6322680905
